Date,Game Number,Player Hand,Player Final Score," ""Dealer Hands""",Dealer Final Score,Final Result,Session W:L Record
Mon Oct 09 08:42:41 EDT 2017,Game #5,"[Five of Diamonds (5), Queen of Diamonds (10)]",15,"[Ace of Spades (11), Four of Diamonds (4), Three of Diamonds (3)]",18,Dealer Wins!,03:02
Mon Oct 09 08:42:48 EDT 2017,Game #6,"[Five of Clubs (5), Nine of Clubs (9)]",14,"[Six of Hearts (6), Ace of Diamonds (11)]",17,Dealer Wins!,03:03
Mon Oct 09 08:42:51 EDT 2017,Game #7,"[Six of Spades (6), Eight of Spades (8)]",14,"[Nine of Diamonds (9), Six of Hearts (6), Jack of Diamonds (10)]",25,Dealer Bust!,04:03
Mon Oct 09 08:42:53 EDT 2017,Game #8,"[Nine of Diamonds (9), Queen of Clubs (10)]",19,"[Queen of Spades (10), Seven of Diamonds (7)]",17,Player Wins!,05:03
Mon Oct 09 08:42:56 EDT 2017,Game #9,"[Eight of Spades (8), Five of Diamonds (5)]",13,"[Eight of Diamonds (8), Eight of Clubs (8), Queen of Hearts (10)]",26,Dealer Bust!,06:03
Mon Oct 09 08:42:59 EDT 2017,Game #10,"[Seven of Diamonds (7), Queen of Clubs (10)]",17,"[Eight of Clubs (8), Ten of Hearts (10)]",18,Dealer Wins!,06:04
Mon Oct 09 08:43:02 EDT 2017,Game #11,"[Ten of Diamonds (10), Five of Clubs (5)]",15,"[Queen of Hearts (10), Nine of Diamonds (9)]",19,Dealer Wins!,06:05
Mon Oct 09 08:43:10 EDT 2017,Game #12,"[Five of Diamonds (5), Eight of Diamonds (8)]",13,"[Four of Spades (4), Ten of Hearts (10), Nine of Diamonds (9)]",23,Dealer Bust!,07:05
Mon Oct 09 08:43:13 EDT 2017,Game #13,"[Four of Hearts (4), Queen of Diamonds (10)]",14,"[Ten of Diamonds (10), Five of Clubs (5), Ten of Spades (10)]",25,Dealer Bust!,08:05
Mon Oct 09 08:43:17 EDT 2017,Game #14,"[Five of Diamonds (5), Ace of Hearts (11)]",16,"[Seven of Clubs (7), Eight of Hearts (8), Eight of Spades (8)]",23,Dealer Bust!,09:05
Mon Oct 09 08:43:29 EDT 2017,Game #15,"[Two of Diamonds (2), Six of Diamonds (6), Ace of Hearts (11)]",19,"[Nine of Clubs (9), Three of Hearts (3), Ace of Clubs (11), Queen of Diamonds (10)]",23,Dealer Bust!,10:05
Date,Game Number,Player Hand,Player Final Score," ""Dealer Hands""",Dealer Final Score,Final Result,Session W:L Record
Date,Game Number,Player Hand,Player Final Score," ""Dealer Hands""",Dealer Final Score,Final Result,Session W:L Record
Mon Oct 09 08:54:23 EDT 2017,Game #1,"[Jack of Diamonds (10), Five of Spades (5), Six of Diamonds (6)]",21,"[Queen of Clubs (10), Six of Hearts (6)]",16,Player 21!,01:00
Mon Oct 09 08:54:28 EDT 2017,Game #2,"[Six of Clubs (6), Five of Diamonds (5), Seven of Clubs (7)]",18,"[Nine of Hearts (9), Two of Hearts (2), Jack of Diamonds (10)]",21,Dealer 21!,01:01
Mon Oct 09 08:54:35 EDT 2017,Game #3,"[Seven of Spades (7), Jack of Spades (10), Two of Spades (2)]",19,"[Ace of Clubs (11), Two of Spades (2), Two of Hearts (2), Two of Diamonds (2)]",17,Player Wins!,02:01
Mon Oct 09 08:54:39 EDT 2017,Game #4,"[Six of Hearts (6), Seven of Diamonds (7), Ten of Spades (10)]",23,"[Jack of Diamonds (10), Nine of Diamonds (9)]",19,Player Bust!,02:02
Mon Oct 09 08:54:46 EDT 2017,Game #5,"[Ace of Diamonds (11), Eight of Spades (8), Seven of Clubs (7)]",16,"[Six of Hearts (6), Jack of Diamonds (10), Ten of Spades (10)]",26,Dealer Bust!,03:02
Mon Oct 09 08:54:53 EDT 2017,Game #6,"[Seven of Diamonds (7), Five of Spades (5), Two of Hearts (2), Two of Diamonds (2), Seven of Spades (7)]",23,"[Nine of Hearts (9), Eight of Diamonds (8)]",17,Player Bust!,03:03
Mon Oct 09 08:54:56 EDT 2017,Game #7,"[Three of Spades (3), Six of Hearts (6), Ace of Diamonds (11), Ace of Diamonds (11)]",21,"[Six of Diamonds (6), Seven of Spades (7), Six of Spades (6)]",19,Player 21!,04:03
Mon Oct 09 08:54:58 EDT 2017,Game #7,"[Two of Spades (2), Eight of Hearts (8)]",10,"[Ace of Spades (11), Ten of Spades (10)]",21,null,04:03
Mon Oct 09 08:55:06 EDT 2017,Game #8,"[Seven of Hearts (7), Four of Clubs (4), Nine of Diamonds (9)]",20,"[Four of Spades (4), Jack of Spades (10), Ace of Clubs (11), Jack of Hearts (10)]",25,Dealer Bust!,05:03
Mon Oct 09 08:55:11 EDT 2017,Game #9,"[Eight of Hearts (8), Jack of Diamonds (10)]",18,"[Eight of Clubs (8), Five of Hearts (5), Four of Hearts (4)]",17,Player Wins!,06:03
Mon Oct 09 08:55:16 EDT 2017,Game #10,"[Ace of Diamonds (11), Six of Spades (6), Ace of Clubs (11)]",18,"[Five of Spades (5), Nine of Hearts (9), Jack of Diamonds (10)]",24,Dealer Bust!,07:03
Mon Oct 09 08:55:23 EDT 2017,Game #11,"[Six of Spades (6), Four of Clubs (4), Eight of Spades (8)]",18,"[Four of Clubs (4), Three of Hearts (3), Queen of Clubs (10)]",17,Player Wins!,08:03
Mon Oct 09 08:55:26 EDT 2017,Game #12,"[Jack of Clubs (10), Five of Diamonds (5), Ten of Clubs (10)]",25,"[Five of Hearts (5), Seven of Spades (7)]",12,Player Bust!,08:04
Mon Oct 09 08:55:30 EDT 2017,Game #13,"[Nine of Clubs (9), Three of Spades (3), Seven of Hearts (7)]",19,"[Jack of Diamonds (10), Nine of Spades (9)]",19,Tie!,09:04
Mon Oct 09 08:55:33 EDT 2017,Game #14,"[Seven of Hearts (7), Eight of Diamonds (8), Jack of Hearts (10)]",25,"[Two of Hearts (2), Nine of Spades (9)]",11,Player Bust!,09:05
Mon Oct 09 08:55:36 EDT 2017,Game #15,"[Nine of Hearts (9), Ten of Spades (10), Queen of Diamonds (10)]",29,"[Five of Spades (5), Two of Hearts (2)]",7,Player Bust!,09:06
Mon Oct 09 08:55:58 EDT 2017,Game #16,"[Four of Hearts (4), Five of Hearts (5)]",9,"[Four of Hearts (4), Ace of Hearts (11), Ten of Spades (10)]",15,Dealer Wins,09:07
Mon Oct 09 08:57:41 EDT 2017,Game #16,"[Queen of Clubs (10), Four of Diamonds (4)]",14,"[Four of Spades (4), Eight of Hearts (8), Ace of Hearts (11), Ace of Clubs (11)]",14,Err:14-14,10:06
Mon Oct 09 08:57:42 EDT 2017,Game #16,"[Five of Clubs (5), Eight of Hearts (8)]",13,"[Nine of Diamonds (9), Two of Spades (2), Five of Clubs (5)]",16,Err:16-13,11:05
Mon Oct 09 08:57:43 EDT 2017,Game #0,[],0,[],0,null,00:00
Date,Game Number,Player Hand,Player Final Score," ""Dealer Hands""",Dealer Final Score,Final Result,Session W:L Record
Mon Oct 09 09:50:52 EDT 2017,Game #1,"[Jack of Spades (10), Two of Hearts (2), Five of Hearts (5), Two of Clubs (2)]",19,"[Five of Clubs (5), Jack of Spades (10), Six of Spades (6)]",21,Dealer 21!,00:01
